UF,Sexo,Idade,Anos de Estudo,Renda
Rondônia,Masculino,39,4,688
Rondônia,Masculino,49,9,400
Rondônia,Masculino,55,3,1000
Rondônia,Masculino,60,9,0
Rondônia,Masculino,55,9,8000
Rondônia,Masculino,42,12,6000
Rondônia,Masculino,35,16,2000
Rondônia,Masculino,38,12,850
Rondônia,Masculino,29,16,5200
Rondônia,Masculino,66,2,789
Rondônia,Masculino,48,1,2000
Rondônia,Masculino,34,16,5000
Rondônia,Masculino,49,9,1800
Rondônia,Masculino,62,12,4000
Rondônia,Masculino,28,12,1000
Rondônia,Masculino,41,1,250
Rondônia,Masculino,52,3,800
Rondônia,Masculino,43,12,1600
Rondônia,Masculino,39,8,800
Rondônia,Masculino,37,6,1600
Rondônia,Masculino,67,1,1000
Rondônia,Masculino,54,5,2500
Rondônia,Masculino,77,1,250
Rondônia,Masculino,64,4,1000
Rondônia,Masculino,58,1,10000
Rondônia,Masculino,57,3,1200
Rondônia,Masculino,43,13,1200
Rondônia,Masculino,64,5,3000
Rondônia,Masculino,52,7,1200
Rondônia,Masculino,52,1,2500
Rondônia,Masculino,41,12,2700
Rondônia,Masculino,24,16,1300
Rondônia,Masculino,41,5,1500
Rondônia,Masculino,44,6,1900
Rondônia,Masculino,59,1,788
Rondônia,Masculino,48,5,2500
Rondônia,Masculino,56,2,788
Rondônia,Masculino,57,5,1500
Rondônia,Masculino,39,1,788
Rondônia,Masculino,45,12,1000
Rondônia,Masculino,51,2,2500
Rondônia,Masculino,34,12,789
Rondônia,Masculino,55,7,1800
Rondônia,Masculino,49,8,2300
Rondônia,Masculino,39,12,800
Rondônia,Masculino,51,16,2364
Rondônia,Masculino,57,3,3650
Rondônia,Masculino,69,1,850
Rondônia,Masculino,31,9,2000
Rondônia,Masculino,54,1,1500
Rondônia,Masculino,41,5,700
Rondônia,Masculino,43,4,750
Rondônia,Masculino,40,5,800
Rondônia,Masculino,39,1,1200
Rondônia,Masculino,42,4,1400
Rondônia,Masculino,58,1,750
Rondônia,Masculino,38,6,400
Rondônia,Masculino,38,16,400
Rondônia,Masculino,37,1,788
Rondônia,Masculino,50,7,1500
Rondônia,Masculino,31,16,3000
Rondônia,Masculino,44,12,1400
Rondônia,Masculino,27,12,1000
Rondônia,Masculino,37,7,800
Rondônia,Masculino,49,12,700
Rondônia,Masculino,55,8,900
Rondônia,Masculino,37,9,788
Rondônia,Masculino,63,12,3000
Rondônia,Masculino,46,6,1200
Rondônia,Masculino,45,8,1500
Rondônia,Masculino,58,8,1600
Rondônia,Masculino,54,3,1200
Rondônia,Masculino,72,1,1500
Rondônia,Masculino,70,1,400
Rondônia,Masculino,50,6,350
Rondônia,Masculino,64,5,2400
Rondônia,Masculino,61,5,0
